Waktu,Data
2017-01-01,6174
2017-02-01,5095
2017-03-01,5837
2017-04-01,5523
2017-05-01,5772
2017-06-01,5749
2017-07-01,6653
2017-08-01,5576
2017-09-01,5763
2017-10-01,5733
2017-11-01,5552
2017-12-01,7081
2018-01-01,6032
2018-02-01,5359
2018-03-01,6049
2018-04-01,6193
2018-05-01,5882
2018-06-01,7437
2018-07-01,7003
2018-08-01,6462
2018-09-01,6260
2018-10-01,6285
2018-11-01,6588
2018-12-01,7996
2019-01-01,6667
2019-02-01,5977
2019-03-01,6702
2019-04-01,7044
2019-05-01,6145
2019-06-01,8445
2019-07-01,8589
2019-08-01,6891
2019-09-01,6322
2019-10-01,6536
2019-11-01,6665
2019-12-01,7850
2020-01-01,6740
2020-02-01,6063
2020-03-01,4401
2020-04-01,676
2020-05-01,399
2020-06-01,681
2020-07-01,1089
2020-08-01,1665
2020-09-01,1617
2020-10-01,1640
2020-11-01,1901
2020-12-01,1933
2021-01-01,1482
2021-02-01,1427
2021-03-01,1954
2021-04-01,2138
2021-05-01,2397
2021-06-01,2335
2021-07-01,544
2021-08-01,532
2021-09-01,817
2021-10-01,1792
2021-11-01,2369
2021-12-01,2994
